state;sex;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
Hessen;Total;18.1;e;17.9;e;18.4;e;19.0;e;19.5;e;21.9;e;23.2;e;26.4;e;28.8;e;30.9;e;33.8;e;34.0;e;34.1;e;32.8;e;34.3;e;33.4;e;33.0;e;34.3;e;34.1;e;35.0;e;33.0;e;37.2;e;35.8;e;37.2;e
Mecklenburg-Vorpommern;Male;10.8;e;11.5;e;11.7;e;12.2;e;11.4;e;14.5;e;15.6;e;15.5;e;17.3;e;16.5;e;18.0;e;19.5;e;20.0;e;21.2;e;20.5;e;22.2;e;21.4;e;23.4;e;22.9;e;24.6;e;22.9;e;25.5;e;23.4;e;25.1;e
Mecklenburg-Vorpommern;Female;13.1;e;14.5;e;15.6;e;16.6;e;17.1;e;19.6;e;19.9;e;20.6;e;22.7;e;23.3;e;25.1;e;26.0;e;27.4;e;25.7;e;25.8;e;27.2;e;28.9;e;34.6;e;34.0;e;37.1;e;34.9;e;38.3;e;35.4;e;36.6;e
Mecklenburg-Vorpommern;Total;11.8;e;12.8;e;13.4;e;14.2;e;14.0;e;16.8;e;17.6;e;17.8;e;19.8;e;19.6;e;21.3;e;22.5;e;23.5;e;23.3;e;23.0;e;24.6;e;24.9;e;28.7;e;28.2;e;30.5;e;28.6;e;31.6;e;29.1;e;30.7;e
Niedersachsen;Male;16.5;e;16.7;e;15.9;e;17.2;e;19.3;e;19.8;e;19.8;e;20.3;e;23.2;e;25.2;e;23.3;e;23.2;e;23.0;e;23.9;e;22.8;e;23.6;e;21.9;e;21.7;e;22.5;e;22.4;e;21.1;e;22.3;e;21.2;e;20.7;e
Niedersachsen;Female;14.8;e;15.5;e;15.8;e;18.7;e;20.8;e;22.5;e;23.1;e;25.3;e;28.8;e;31.8;e;28.4;e;27.9;e;26.8;e;28.3;e;26.9;e;28.0;e;27.6;e;28.6;e;28.8;e;30.2;e;29.5;e;31.1;e;29.5;e;28.2;e
Niedersachsen;Total;15.7;e;16.1;e;15.9;e;17.9;e;20.0;e;21.2;e;21.4;e;22.8;e;25.9;e;28.4;e;25.8;e;25.4;e;24.8;e;26.0;e;24.7;e;25.7;e;24.6;e;25.0;e;25.5;e;26.0;e;25.1;e;26.5;e;25.2;e;24.3;e
Nordrhein-Westfalen;Male;18.1;e;17.3;e;17.2;e;17.5;e;18.9;e;20.0;e;22.1;e;25.0;e;25.5;e;28.7;e;29.0;e;30.1;e;30.6;e;29.3;e;29.8;e;29.2;e;29.0;e;28.7;e;27.5;e;27.3;e;26.0;e;28.1;e;27.4;e;28.0;e
Nordrhein-Westfalen;Female;17.6;e;17.0;e;17.6;e;18.2;e;19.7;e;21.0;e;24.4;e;27.4;e;28.7;e;32.5;e;31.8;e;30.9;e;30.8;e;30.8;e;32.2;e;33.3;e;35.6;e;35.9;e;34.5;e;34.6;e;33.4;e;37.7;e;36.1;e;36.5;e
Nordrhein-Westfalen;Total;17.9;e;17.2;e;17.4;e;17.9;e;19.3;e;20.5;e;23.2;e;26.1;e;27.0;e;30.5;e;30.4;e;30.4;e;30.7;e;30.1;e;30.9;e;31.2;e;32.1;e;32.1;e;30.8;e;30.8;e;29.5;e;32.7;e;31.6;e;32.1;e
Rheinland-Pfalz;Male;17.5;e;17.7;e;16.2;e;16.7;e;17.8;e;20.2;e;19.3;e;21.6;e;23.2;e;26.0;e;25.0;e;27.3;e;29.4;e;29.7;e;29.4;e;27.4;e;25.6;e;24.8;e;24.3;e;24.2;e;22.3;e;24.5;e;23.2;e;23.2;e
Rheinland-Pfalz;Female;18.6;e;18.7;e;18.3;e;19.9;e;21.3;e;23.7;e;23.8;e;26.4;e;28.6;e;29.9;e;31.2;e;34.7;e;37.3;e;38.6;e;37.6;e;34.8;e;33.1;e;32.7;e;32.7;e;31.9;e;30.9;e;34.7;e;33.9;e;33.7;e
Rheinland-Pfalz;Total;18.0;e;18.2;e;17.2;e;18.3;e;19.5;e;21.9;e;21.5;e;24.0;e;25.9;e;27.9;e;28.1;e;30.9;e;33.2;e;34.0;e;33.4;e;31.0;e;29.2;e;28.6;e;28.3;e;27.9;e;26.4;e;29.4;e;28.3;e;28.2;e
Saarland;Male;18.1;e;17.0;e;17.2;e;16.0;e;18.0;e;15.2;e;16.3;e;19.7;e;19.2;e;20.2;e;18.3;e;19.1;e;20.3;e;26.2;e;28.7;e;30.1;e;28.7;e;27.9;e;23.8;e;34.0;e;33.0;e;33.6;e;33.7;e;31.8;e
Saarland;Female;14.3;e;14.6;e;14.2;e;14.3;e;16.0;e;16.9;e;15.5;e;16.9;e;17.9;e;19.9;e;20.2;e;24.9;e;24.8;e;33.1;e;34.1;e;35.9;e;34.6;e;33.8;e;27.8;e;42.3;e;41.1;e;40.8;e;42.5;e;36.6;e
Saarland;Total;16.2;e;15.8;e;15.7;e;15.2;e;17.0;e;16.0;e;15.9;e;18.3;e;18.5;e;20.1;e;19.2;e;21.9;e;22.5;e;29.5;e;31.3;e;32.9;e;31.5;e;30.7;e;25.7;e;38.0;e;36.8;e;37.0;e;37.8;e;34.1;e
Sachsen;Male;15.2;e;15.9;e;17.3;e;18.4;e;18.6;e;19.7;e;21.1;e;23.5;e;24.6;e;27.0;e;28.2;e;29.5;e;29.9;e;29.4;e;30.3;e;29.7;e;29.4;e;32.0;e;32.6;e;32.7;e;31.4;e;31.2;e;28.5;e;26.5;e
