statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;1999-12-31;DLAND;Bundesländer;09;Bayern;KRPGR4;Körperschaftsgruppen;KRPZWECKV01;Zweckverbände;SLD007;Schuldenarten;SLDKREDIT02;Kreditmarktschulden;1613;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;1998-12-31;DLAND;Bundesländer;16;Thüringen;KRPGR4;Körperschaftsgruppen;KRPZWECKV01;Zweckverbände;SLD007;Schuldenarten;SLDKREDIT02;Kreditmarktschulden;141;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;2000-12-31;DLAND;Bundesländer;06;Hessen;KRPGR4;Körperschaftsgruppen;KRPZWECKV01;Zweckverbände;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;23;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;1999-12-31;DLAND;Bundesländer;14;Sachsen;KRPGR4;Körperschaftsgruppen;KRPZWECKV01;Zweckverbände;SLD007;Schuldenarten;SLDKREDIT02;Kreditmarktschulden;622;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;2005-12-31;DLAND;Bundesländer;15;Sachsen-Anhalt;KRPGR4;Körperschaftsgruppen;KRPGEMEIN01;Gemeinden / Gemeindeverbände;SLD007;Schuldenarten;SLDKREDIT02;Kreditmarktschulden;3290;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;1992-12-31;DLAND;Bundesländer;10;Saarland;KRPGR4;Körperschaftsgruppen;KRPLAENDER01;Länder;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;122;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;2004-12-31;DLAND;Bundesländer;09;Bayern;KRPGR4;Körperschaftsgruppen;KRPZWECKV01;Zweckverbände;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;57;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;1993-12-31;DLAND;Bundesländer;14;Sachsen;KRPGR4;Körperschaftsgruppen;KRPLAENDER01;Länder;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;-;Mill. EUR;SLD001;Schulden;
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;1996-12-31;DLAND;Bundesländer;10;Saarland;KRPGR4;Körperschaftsgruppen;KRPGEMEIN01;Gemeinden / Gemeindeverbände;SLD007;Schuldenarten;SLDKREDIT02;Kreditmarktschulden;1183;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;2003-12-31;DLAND;Bundesländer;04;Bremen;KRPGR4;Körperschaftsgruppen;KRPZWECKV01;Zweckverbände;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;-;Mill. EUR;SLD001;Schulden;
