statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;4_variable_code;4_variable_label;4_variable_attribute_code;4_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
71321;Annual debt of the overall public budget;STAG;Reference date;2014-12-31;DLAND;Länder;08;Baden-Württemberg;KRPGR9;Levels of the overall public budget;;Total;HSHAT1;Budgets;;Total;SLDAT4;Types of debts;;Total;59743;EUR mn;SLD016;Debts owed to the non-public sector;e
71321;Annual debt of the overall public budget;STAG;Reference date;2022-12-31;DLAND;Länder;08;Baden-Württemberg;KRPGR9;Levels of the overall public budget;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;;Total;SLDAT4;Types of debts;;Total;11016;EUR mn;SLD016;Debts owed to the non-public sector;e
71321;Annual debt of the overall public budget;STAG;Reference date;2011-12-31;DLAND;Länder;14;Sachsen;KRPGR9;Levels of the overall public budget;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLDAT4;Types of debts;SLDKREDIT03;Loans for strengthening cash res. fr. non-pub.sec.;0;EUR mn;SLD016;Debts owed to the non-public sector;e
71321;Annual debt of the overall public budget;STAG;Reference date;2013-12-31;DLAND;Länder;15;Sachsen-Anhalt;KRPGR9;Levels of the overall public budget;;Total;HSHAT1;Budgets;HSHKERN;Core budgets;SLDAT4;Types of debts;SLDKREDIT04;Loans from non-public sector;11449;EUR mn;SLD016;Debts owed to the non-public sector;e
71321;Annual debt of the overall public budget;STAG;Reference date;2010-12-31;DLAND;Länder;11;Berlin;KRPGR9;Levels of the overall public budget;;Total;HSHAT1;Budgets;;Total;SLDAT4;Types of debts;SLDKREDIT04;Loans from non-public sector;24068;EUR mn;SLD016;Debts owed to the non-public sector;e
71321;Annual debt of the overall public budget;STAG;Reference date;2012-12-31;DLAND;Länder;16;Thüringen;KRPGR9;Levels of the overall public budget;;Total;HSHAT1;Budgets;;Total;SLDAT4;Types of debts;SLDKREDIT04;Loans from non-public sector;14177;EUR mn;SLD016;Debts owed to the non-public sector;e
71321;Annual debt of the overall public budget;STAG;Reference date;2024-12-31;DLAND;Länder;16;Thüringen;KRPGR9;Levels of the overall public budget;KRPLAENDER01;Länder;HSHAT1;Budgets;;Total;SLDAT4;Types of debts;SLDKREDIT03;Loans for strengthening cash res. fr. non-pub.sec.;-;EUR mn;SLD016;Debts owed to the non-public sector;
71321;Annual debt of the overall public budget;STAG;Reference date;2021-12-31;DLAND;Länder;14;Sachsen;KRPGR9;Levels of the overall public budget;;Total;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLDAT4;Types of debts;;Total;2177;EUR mn;SLD016;Debts owed to the non-public sector;e
71321;Annual debt of the overall public budget;STAG;Reference date;2014-12-31;DLAND;Länder;06;Hessen;KRPGR9;Levels of the overall public budget;KRPLAENDER01;Länder;HSHAT1;Budgets;;Total;SLDAT4;Types of debts;SLDKREDIT04;Loans from non-public sector;10323;EUR mn;SLD016;Debts owed to the non-public sector;e
71321;Annual debt of the overall public budget;STAG;Reference date;2017-12-31;DLAND;Länder;13;Mecklenburg-Vorpommern;KRPGR9;Levels of the overall public budget;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLDAT4;Types of debts;SLDKREDIT03;Loans for strengthening cash res. fr. non-pub.sec.;-;EUR mn;SLD016;Debts owed to the non-public sector;
71321;Annual debt of the overall public budget;STAG;Reference date;2022-12-31;DLAND;Länder;12;Brandenburg;KRPGR9;Levels of the overall public budget;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;;Total;SLDAT4;Types of debts;SLDKREDIT03;Loans for strengthening cash res. fr. non-pub.sec.;179;EUR mn;SLD016;Debts owed to the non-public sector;e
71321;Annual debt of the overall public budget;STAG;Reference date;2020-12-31;DLAND;Länder;03;Niedersachsen;KRPGR9;Levels of the overall public budget;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;;Total;SLDAT4;Types of debts;;Total;13578;EUR mn;SLD016;Debts owed to the non-public sector;e
71321;Annual debt of the overall public budget;STAG;Reference date;2022-12-31;DLAND;Länder;11;Berlin;KRPGR9;Levels of the overall public budget;KRPLAENDER01;Länder;HSHAT1;Budgets;;Total;SLDAT4;Types of debts;SLDKREDIT03;Loans for strengthening cash res. fr. non-pub.sec.;1;EUR mn;SLD016;Debts owed to the non-public sector;e
71321;Annual debt of the overall public budget;STAG;Reference date;2019-12-31;DLAND;Länder;09;Bayern;KRPGR9;Levels of the overall public budget;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;;Total;SLDAT4;Types of debts;SLDKREDIT03;Loans for strengthening cash res. fr. non-pub.sec.;297;EUR mn;SLD016;Debts owed to the non-public sector;e
